Channel,Rank,Bank,Row,AvgOpenDuration,OpenCount,AvgReopenInterval,TotalRefreshes,AvgRefreshesBetweenReopens
0,0,1,7448,2.14369e+06,5,5.05983e+06,2571,514.2
0,0,1,7449,103378,156,246790,2571,16.4808
0,0,1,7474,137559,88,404715,2571,29.2159
0,0,1,7502,271394,53,667672,2571,48.5094
0,0,1,7503,166125,119,235658,2571,21.605
0,0,1,7581,188700,65,235884,2571,39.5538
0,0,1,7583,83663.5,111,310545,2571,23.1622
0,0,1,7606,406125,31,1.00657e+06,2571,82.9355
0,0,1,7742,487.375,8,1.07721e+06,2571,321.375
0,0,1,7743,956082,8,2.05582e+06,2571,321.375
0,0,1,8121,1.99355e+06,2,1.99359e+06,2571,1285.5
0,0,1,9054,807025,6,879306,2571,428.5
0,0,1,9956,453216,45,785731,2571,57.1333
0,0,1,9957,119177,40,409942,2571,64.275
0,0,1,9958,266370,58,613635,2571,44.3276
0,0,1,9959,10164.4,33,492310,2571,77.9091
0,0,1,10280,115324,47,224604,2571,54.7021
0,0,1,10282,960546,17,1.42268e+06,2571,151.235
0,0,1,10283,3477.92,36,240607,2571,71.4167
0,0,1,10567,676771,7,1.13644e+06,2571,367.286
0,0,1,10631,2.10739e+06,8,2.78244e+06,2571,321.375
0,0,1,12620,1.13575e+06,2,1.13578e+06,2571,1285.5
0,0,1,12780,1.4659e+06,6,2.56592e+06,2571,428.5
0,0,1,12810,257715,21,737366,2571,122.429
0,0,1,13967,3.84122e+06,2,3.84126e+06,2571,1285.5
0,0,1,14255,2903.67,6,1.40002e+06,2571,428.5
0,0,1,14415,807991,7,1.19315e+06,2571,367.286
0,0,1,14943,157308,87,283655,2571,29.5517
0,0,1,14947,1.23236e+06,6,2.29033e+06,2571,428.5
0,0,1,14952,19416.5,2,19455,2571,1285.5
0,0,1,14954,985544,3,985638,2571,857
0,0,1,14955,827946,11,2.22024e+06,2571,233.727
0,0,1,14956,546961,30,970889,2571,85.7
0,0,1,14962,42433.2,33,331144,2571,77.9091
0,0,1,14963,361.062,16,914932,2571,160.688
0,0,1,14966,896801,4,2.29987e+06,2571,642.75
0,0,1,14967,1.19376e+06,4,3.52738e+06,2571,642.75
0,0,1,14968,461772,30,567454,2571,85.7
0,0,1,14972,820337,10,1.33505e+06,2571,257.1
0,0,1,14973,3.11019e+06,3,3.11023e+06,2571,857
0,0,1,14980,159328,50,560325,2571,51.42
0,0,1,14984,149004,37,1.0262e+06,2571,69.4865
0,0,1,14985,128.957,23,1.04666e+06,2571,111.783
0,0,1,14986,54.3333,6,2.33314e+06,2571,428.5
0,0,1,14987,545120,8,546350,2571,321.375
0,0,1,14990,952.667,24,3250.83,2571,107.125
0,0,1,14995,376917,34,917327,2571,75.6176
0,0,1,14996,377.933,15,1.08931e+06,2571,171.4
0,0,1,14997,665773,11,703648,2571,233.727
0,0,1,14998,187370,43,358788,2571,59.7907
0,0,1,14999,29915.8,13,1.18739e+06,2571,197.769
0,0,1,15000,75999.2,44,321849,2571,58.4318
0,0,1,15008,601381,14,1.21289e+06,2571,183.643
0,0,1,15009,4546.4,5,2.00837e+06,2571,514.2
0,0,1,15011,21541.6,474,53214.9,2571,5.42405
0,0,1,15024,113552,205,164679,2571,12.5415
0,0,1,15028,353780,11,1.44106e+06,2571,233.727
0,0,1,15039,6742,3,2.48499e+06,2571,857
0,0,1,64820,77252.2,89,437080,2571,28.8876
0,0,1,64821,1.25272e+06,10,3.82161e+06,2571,257.1
0,0,1,64822,102533,22,1.67069e+06,2571,116.864
0,0,1,64823,2209.26,58,634196,2571,44.3276
0,0,1,64824,175600,16,2.29701e+06,2571,160.688
0,0,1,64825,2.77532e+06,4,4.0951e+06,2571,642.75
0,0,1,64829,2.60644e+06,8,4.68296e+06,2571,321.375
